473791829703098, 230456526176051, 354431298438521 @ -186, 25, -20
365401987647919, 199494537264574, 288715138476352 @ -145, 120, 15
342363760114142, 268437865227399, 338578908142429 @ -122, 16, -75
287803277724582, 312649583708791, 260087425739557 @ -37, -56, 52
145700559224533, 166934573553043, 80724735341897 @ 215, 615, 602
260145086897126, 131387413307206, 217082659917980 @ -68, 402, 101
240585715323362, 330244072289419, 399424544026561 @ 64, -89, -134
300930617323025, 451477956889064, 233589199412054 @ 7, -244, 119
202272704989289, 193840470375464, 291814261189427 @ 105, 154, -8
187768562010894, 290775605608831, 245516943713541 @ 96, 33, 16
176169263848386, 331149898244767, 151041318475855 @ 18, -21, 405
250535005637270, 264599898733618, 287162127537395 @ 28, 24, 8
237265900548878, 465148500470303, 441106516070805 @ 82, -268, -156
200738069991614, 302748413809823, 241474041536117 @ -99, 132, -158
153018875128298, 275163257029439, 181102246814045 @ 189, 71, 188
271285047501584, 274808360920919, 238326454586797 @ -77, 47, 58
428547363469769, 360511408965654, 308341005823797 @ -89, -126, 54
310265812536885, 315737032115079, 359518142241127 @ -31, -69, -68
356273550190646, 226243502241455, 342022375015277 @ -161, 95, -93
171951966645205, 327307067986771, 195358736383287 @ -111, 127, 12
368266938388959, 291464243895364, 291003070066722 @ -207, -12, -17
247873301427866, 105833394362285, 168095496727701 @ 94, 140, 198
324334727662542, 226695079262087, 386873403002645 @ -40, 50, -94
268391513342246, 259901890642071, 348233588973837 @ -26, 49, -128
290246920447176, 276921662283171, 160733884228344 @ 54, -41, 205
343158097430285, 252996950069213, 353738288602191 @ -173, 65, -144
325988018149210, 198034085865399, 248749530516469 @ -105, 141, 70
319559081283692, 320529594263957, 256307366279255 @ -50, -75, 76
158876430617789, 320859300540899, 174170999036477 @ 159, -9, 222
181776334511829, 293840043503289, 206834260270737 @ 137, -15, 138
212337537894644, 431946118834892, 90405411856652 @ 46, -322, 407
298669109564972, 286310937282721, 212877395849287 @ -131, 18, 117
278822753842274, 321076421596527, 293313785594511 @ 16, -77, 28
353616226364718, 220842588334029, 421602359094077 @ -60, 46, -118
298514884427733, 432416475498587, 391233971738167 @ -25, -241, -128
168709003735210, 324912407870565, 260266094452037 @ 110, -20, -178
264160057219382, 444157565565071, 356204783667473 @ -22, -301, -149
316014943673274, 333832639375795, 351945069747401 @ -264, -81, -286
277870503788030, 261696577892435, 253309265384377 @ -32, 38, 57
243433199895134, 345911633854427, 372229848173861 @ 56, -112, -102
282892327737176, 334775702794283, 331176550451419 @ 22, -97, -12
226894564362491, 316718003500466, 207788911551920 @ -77, -12, 95
459202816155446, 225125468807879, 209132175674123 @ -116, 11, 156
240434689749722, 339508837136975, 202679262965357 @ -131, -93, 112
290754278456138, 228233874274403, 322920113802605 @ 37, 22, 24
210181690635998, 445069182657751, 199421686667387 @ 28, -393, 137
207531049021678, 279582722300567, 307977659626885 @ 84, 17, -62
388105242003907, 453135318678829, 311095582702749 @ -87, -239, 30
131237764845514, 192968761816057, 154732997685407 @ 216, 49, 212
176422174154968, 171046548639459, 231739129839767 @ 107, 481, 17
256347192767702, 335387987159911, 281171806030043 @ -152, -81, -139
190337726656394, 383020768709279, 284486449961402 @ 16, -285, -273
168345071013878, 348766190472023, 199503577286933 @ -23, -168, -14
311094064840727, 239618244650201, 276402619774868 @ -103, 85, 9
229263514233644, 161011911459569, 309663460914917 @ 111, 88, 46
192629322335005, 173796737567878, 287629503276439 @ 153, 64, 76
286345933156582, 425684247742047, 396990399351733 @ 33, -207, -74
278308996102252, 381497357723577, 273777439520457 @ -73, -188, -8
171978929205034, 345929336455519, 361495603891997 @ 153, -113, -172
235898409706383, 332058017886553, 71581817955329 @ 95, -95, 314
441164725905874, 415766438356787, 254388231796308 @ -144, -193, 99
220308333439662, 329229955804879, 238403276542261 @ -66, -54, -24
243094714289046, 290289163436895, 259879479704645 @ -15, 13, 8
269075696812292, 403703206774737, 420013121852595 @ 55, -180, -99
185756065868606, 317962277634476, 206934263783156 @ 20, 20, 65
306602835951694, 394971389693999, 405403755775077 @ -6, -175, -105
226407326370911, 275311764519317, 269399009882074 @ 43, 29, 9
217996279770548, 431991037149941, 200413193554117 @ 37, -316, 142
302169701188694, 242700503725599, 306937564063177 @ -8, 27, 16
188848961034608, 388390314947833, 192945374284789 @ 67, -258, 150
317309915287004, 369853167795119, 224729978338712 @ -10, -141, 131
270430159858800, 416755354469601, 248358071020895 @ 74, -183, 116
411410819479874, 280542245575564, 330007016411152 @ -80, -42, 27
148141211501409, 231958197382881, 164881179981563 @ 201, 145, 224
184331390770630, 290323159020723, 237968137997230 @ 92, 55, 15
151882033082651, 340769882494268, 208862834182193 @ 175, -66, -166
347454482319431, 79018596603817, 461850113934788 @ 7, 145, -85
164992340154724, 346947348115619, 268751956613907 @ 138, -121, -156
228085030617707, 268145080420280, 293279558322292 @ -41, 122, -153
191690128422881, 339725229784157, 210449291719439 @ -21, -87, 40
183732602687854, 385651239253599, 137903593156849 @ 116, -209, 291
253825876820294, 428426171826569, 539827742986077 @ 16, -256, -438
233277543445890, 247001676799256, 192555174052194 @ 24, 92, 163
222333144039688, 1548662158311, 208901601152867 @ 69, 495, 137
285932507749669, 289885826153224, 348545586198827 @ 63, -56, 20
233446935041728, 257659312039827, 295949653723599 @ 38, 55, -32
366652936251794, 119144857064309, 546414973721537 @ -34, 130, -204
177804160280213, 321169757671259, 203541494039801 @ 27, 31, 58
202887726276730, 259792827331702, 362541953993554 @ 8, 192, -459
327803862264827, 353221841977585, 341578229322039 @ -71, -123, -56
74233283470007, 20308509703727, 132297974614613 @ 339, 499, 278
166750298555390, 324907717391583, 188667126777665 @ -56, 183, 101
226185057642758, 273747229967351, 340744179827621 @ 89, -10, -40
156591121079033, 314174040208499, 127180049691026 @ 175, -9, 371
271812896041454, 528143012153855, 47755021060805 @ 16, -382, 383
163403446323842, 360572914297649, 200183307710753 @ 98, -234, 56
179907045392744, 257990234226659, 237393813232787 @ 121, 109, 45
155494632917816, 295854794542727, 316136963057733 @ 187, -25, -50
260151524138524, 266481161204979, 330648861839397 @ 23, 13, -50
274811331590372, 197731744745549, 418960953282881 @ 47, 66, -100
226237912653551, 177923070354562, 284930963501556 @ -23, 370, -111
277459211192794, 463280118725949, 174868089602052 @ 32, -263, 193
291867087844896, 256525445467395, 253828929622925 @ -21, 25, 74
